Elspot prices in EUR/MWh,,,,,,,,,,,,,,,,
Data was last updated 30-12-2019,,,,,,,,,,,,,,,,
,SYS,SE,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE
11 - Jan,"69,62","69,72",,,,,"68,92","52,89","54,36","71,87","69,57","72,35","70,15","70,15","70,15","43,15"
11 - Feb,"64,46","64,53",,,,,"64,58","51,75","52,23","65,94","64,36","65,91","64,92","64,92","64,92","47,70"
11 - Mar,"64,22","63,29",,,,,"60,91","55,15","55,17","65,32","65,19","65,32","64,05","64,05","63,92","47,84"
11 - Apr,"53,84","53,60",,,,,"52,93","52,33","52,35","54,22","54,21","54,22","53,86","53,86","54,79","40,32"
11 - May,"54,49","54,47",,,,,"54,42","54,35","55,08","54,67","54,67","54,67","54,47","54,47","54,51","47,37"
11 - Jun,"48,40","48,55",,,,,"48,54","51,99","52,26","48,34","48,34","45,72","48,43","48,43","48,43","47,45"
11 - Jul,"38,78","39,78",,,,,"42,20","42,20","43,25","37,45","37,45","35,58","39,53","39,53","39,16","42,95"
11 - Aug,"40,14","42,13",,,,,"48,98","45,42","48,80","36,58","36,58","36,58","40,71","40,71","40,89","47,60"
11 - Sep,"28,94","32,10",,,,,"38,86","47,79","48,35","23,18","23,19","22,36","32,03","32,03","32,78","40,86"
11 - Oct,"27,96","30,49",,,,,"36,90","42,75","46,92","26,00","26,00","24,50","29,43","29,43","29,21","41,49"
11 - Nov,"41,18",,"41,60","41,60","43,52","49,88","42,03","45,45","50,00","40,51","40,51","40,14","40,28","40,28","39,04","41,12"
11 - Dec,"33,74",,"33,21","33,21","33,22","34,45","33,34","33,97","34,61","34,21","34,21","34,21","33,23","33,23","33,21","32,61"
