"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,169,"NOR","Norway",1,"Ãstfold","Fylke","County",NA,"Oestfold fylke"
2,169,"NOR","Norway",2,"Akershus","Fylke","County",NA,"Akershus fylke"
3,169,"NOR","Norway",3,"Aust-Agder","Fylke","County",NA,"Aust-Agder fylke|Austur-Agðir|Nedenes"
4,169,"NOR","Norway",4,"Buskerud","Fylke","County",NA,"Buskerud fylke"
5,169,"NOR","Norway",5,"Finnmark","Fylke","County",NA,"Finnmark fylke|Finmarken|Finnmárkku|Finnmörk"
6,169,"NOR","Norway",6,"Hedmark","Fylke","County",NA,"Hedmark fylke|Hedemarken|Heiðmörk"
7,169,"NOR","Norway",7,"Hordaland","Fylke","County",NA,"Hordaland fylke|Hörðaland|Søndre Bergenhus"
8,169,"NOR","Norway",8,"Møre og Romsdal","Fylke","County",NA,"Moere og Romsdal fylk|Møre|Romsdal"
9,169,"NOR","Norway",9,"Nord-Trøndelag","Fylke","County",NA,"Nord-Troendelag fylke|Nordre Trondhjem|Norður-Þrændalög"
10,169,"NOR","Norway",10,"Nordland","Fylke","County",NA,"Nordland fylke"
11,169,"NOR","Norway",11,"Oppland","Fylke","County",NA,"Oppland fylke|Kristian|Opland|Upplönd"
12,169,"NOR","Norway",12,"Oslo","Fylke","County",NA,"Oslo fylke|Kristiania"
13,169,"NOR","Norway",13,"Rogaland","Fylke","County",NA,"Rogaland fylke|Stavanger"
14,169,"NOR","Norway",14,"Sør-Trøndelag","Fylke","County",NA,"Soer-Troendelag fylke|Søndre Trondhjem|Suður-Þrændalög"
15,169,"NOR","Norway",15,"Sogn og Fjordane","Fylke","County",NA,"Sogn og Fjordane fyl|Nordre Bergenhus|Sogn og Firða-Fylki"
16,169,"NOR","Norway",16,"Telemark","Fylke","County",NA,"Telemark fylke|Bratsberg|Þelamörk"
17,169,"NOR","Norway",17,"Troms","Fylke","County",NA,"Troms fylke|Tromsø|Troms-Fylki"
18,169,"NOR","Norway",18,"Vest-Agder","Fylke","County",NA,"Vest-Agder fylke|Lister og Mandal|Vestur-Agðir"
19,169,"NOR","Norway",19,"Vestfold","Fylke","County",NA,"Vestfold fylke|Jarlsberg og Larvik"
